Latitude,Longitude,Zipcode,id,listing_url,name,picture_url,host_id,host_url,host_name,host_since,host_location,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,code-chicago,room_type,accommodates,bathrooms_text,bedrooms,beds,price,revenue_potential_annual,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,Average Annual Max Temp (F),Average Annual Min Temp (F),Average Annual Precipitation (inches),Average Annual Wind Speed (mph),Average Annual UV Index (0-10),Average Annual Visibility (miles),Average Annual Cloud Cover (%),Average Annual Humidity (%),Average Annual Solar Radiation (W/m^2),median_ppsf
41.7879,-87.5878,60637,2384,https://www.airbnb.com/rooms/2384,Hyde Park - Walk to UChicago,https://a0.muscache.com/pictures/acf6b3c0-47f2-463e-902b-d13dfd66668f.jpg,2613,https://www.airbnb.com/users/show/2613,Rebecca,29-08-2008,"Chicago, IL",97%,t,https://a0.muscache.com/im/pictures/user/8bb4745c-c262-42e6-bb8d-4e8f4b638f8e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8bb4745c-c262-42e6-bb8d-4e8f4b638f8e.jpg?aki_policy=profile_x_medium,Hyde Park,1,t,t,Hyde Park,Private room in condo,2,Private room,1,1 shared bath,1,1,90,31230,t,19,45,72,347,212,20,1,4.99,4.98,4.99,4.99,4.99,4.96,4.93,60.55041096,45.2139726,0.078742466,16.2490411,5.830136986,9.3,65.31260274,62.92684932,253.8046575,165.8634538
41.94842,-87.65307,60613,1772920,https://www.airbnb.com/rooms/1772920,3 Bedroom Across from Wrigley Field AllStar Suite,https://a0.muscache.com/pictures/28490752/b4cc2a0e_original.jpg,9297431,https://www.airbnb.com/users/show/9297431,Inn At Wrigleyville,08-10-2013,"Chicago, IL",100%,t,https://a0.muscache.com/im/pictures/user/dcf7dc2a-3134-4ac1-b05c-6562cfe4e5c3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dcf7dc2a-3134-4ac1-b05c-6562cfe4e5c3.jpg?aki_policy=profile_x_medium,Lakeview,6,t,f,Lake View,Entire rental unit,1,Entire home/apt,7,2 baths,3,5,379.00,78074,t,24,48,72,206,13,3,0,4.67,4.67,4.75,4.42,4.75,4.92,4.58,59.96136986,44.66712329,0.080493151,15.48849315,4.594520548,9.323561644,63.04931507,63.21945205,136.0723288,276.1128527
41.94774,-87.65421,60613,1773021,https://www.airbnb.com/rooms/1773021,4 Bedroom Across from Wrigley Field Stadium Suite,https://a0.muscache.com/pictures/28491077/6edb454a_original.jpg,9297431,https://www.airbnb.com/users/show/9297431,Inn At Wrigleyville,08-10-2013,"Chicago, IL",100%,t,https://a0.muscache.com/im/pictures/user/dcf7dc2a-3134-4ac1-b05c-6562cfe4e5c3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dcf7dc2a-3134-4ac1-b05c-6562cfe4e5c3.jpg?aki_policy=profile_x_medium,Lakeview,6,t,f,Lake View,Entire rental unit,1,Entire home/apt,9,2 baths,4,5,479.00,102985,t,24,41,59,215,26,10,1,4.92,4.92,4.92,4.96,4.88,5,4.85,59.96136986,44.66712329,0.080493151,15.48849315,4.594520548,9.323561644,63.04931507,63.21945205,136.0723288,276.1128527
41.9475,-87.6542,60613,1773025,https://www.airbnb.com/rooms/1773025,4 Bedroom Across from Wrigley Field Legend Suite,https://a0.muscache.com/pictures/28489088/cb9d55cf_original.jpg,9297431,https://www.airbnb.com/users/show/9297431,Inn At Wrigleyville,08-10-2013,"Chicago, IL",100%,t,https://a0.muscache.com/im/pictures/user/dcf7dc2a-3134-4ac1-b05c-6562cfe4e5c3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dcf7dc2a-3134-4ac1-b05c-6562cfe4e5c3.jpg?aki_policy=profile_x_medium,Lakeview,6,t,f,Lake View,Entire rental unit,1,Entire home/apt,9,2 baths,4,5,479.00,106817,t,27,52,69,223,21,7,0,4.86,5,4.81,4.95,4.9,5,4.76,59.96136986,44.66712329,0.080493151,15.48849315,4.594520548,9.323561644,63.04931507,63.21945205,136.0723288,276.1128527
41.79989,-87.59432,60615,1837153,https://www.airbnb.com/rooms/1837153,Musician's Quarters,https://a0.muscache.com/pictures/97205fb8-421c-4f56-970d-9e0ebd834cf6.jpg,9601147,https://www.airbnb.com/users/show/9601147,Chester,23-10-2013,"Chicago, IL",100%,f,https://a0.muscache.com/im/pictures/user/a22ccfa1-2a4e-40a9-8835-1f2b0b3ec71b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a22ccfa1-2a4e-40a9-8835-1f2b0b3ec71b.jpg?aki_policy=profile_x_medium,Hyde Park,1,t,t,Hyde Park,Entire rental unit,1,Entire home/apt,2,1 bath,1,1,115.00,41975,t,30,60,90,365,57,1,0,4.54,4.71,4.37,4.75,4.8,4.89,4.59,60.55424658,45.23780822,0.078882192,16.26410959,5.649315068,9.300273973,65.61643836,62.82383562,237.2580822,163.5080645
41.93264,-87.64311,60614,1854000,https://www.airbnb.com/rooms/1854000,Elegant Lakefront Near Wrigley Field Lake Michigan,https://a0.muscache.com/pictures/73141590/2340393a_original.jpg,9471604,https://www.airbnb.com/users/show/9471604,James,16-10-2013,"Chicago, IL",18%,f,https://a0.muscache.com/im/pictures/user/fa6677bf-7fc7-4187-a0c9-491d922bbd42.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fa6677bf-7fc7-4187-a0c9-491d922bbd42.jpg?aki_policy=profile_x_medium,Lakeview,1,t,t,Lincoln Park,Entire rental unit,1,Entire home/apt,2,1 bath,1,1,239.00,86518,t,30,60,87,362,155,1,0,4.58,4.71,4.54,4.78,4.82,4.93,4.61,60.16958904,44.94356164,0.080936986,15.69561644,4.594520548,9.321643836,64.29232877,62.75232877,136.1380822,363.7333762
41.94663,-87.70783,60618,1921670,https://www.airbnb.com/rooms/1921670,The Avondale Garden Unit,https://a0.muscache.com/pictures/06afc5da-cc29-4263-9a08-79b4bfff3241.jpg,9959757,https://www.airbnb.com/users/show/9959757,Jedidiah,12-11-2013,"Chicago, IL",100%,t,https://a0.muscache.com/im/pictures/user/320bb2fd-fa7d-44fc-9b74-69b37c50f493.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/320bb2fd-fa7d-44fc-9b74-69b37c50f493.jpg?aki_policy=profile_x_medium,Irving Park,8,t,f,Avondale,Entire rental unit,1,Entire home/apt,4,1 bath,2,2,113.00,28476,t,5,14,32,252,287,19,1,4.85,4.85,4.8,4.95,4.96,4.81,4.88,59.92657534,44.62273973,0.080460274,15.54027397,4.594520548,9.32109589,63.60219178,63.3,136.7410959,299.806701
41.93564,-87.6424,60657,1931880,https://www.airbnb.com/rooms/1931880,Charming Mid-Century Designed Apt in E Lakeview,https://a0.muscache.com/pictures/a32db993-a25f-4a32-bd51-8e30e38a8719.jpg,4995578,https://www.airbnb.com/users/show/4995578,George,06-02-2013,"Chicago, IL",25%,f,https://a0.muscache.com/im/pictures/user/33df432b-d46e-482c-b327-380af7e90082.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/33df432b-d46e-482c-b327-380af7e90082.jpg?aki_policy=profile_x_medium,Lake View East,1,t,t,Lake View,Entire rental unit,1,Entire home/apt,2,1 bath,1,1,75.00,5100,t,10,10,19,68,1,1,0,5,5,5,5,5,5,3,60.04273973,44.77917808,0.080605479,15.56986301,4.594520548,9.323561644,63.56767123,63.03835616,136.1432877,326.8902786
41.85487,-87.62024,60616,1944802,https://www.airbnb.com/rooms/1944802,High Floor South Loop GYM POOL,https://a0.muscache.com/pictures/34372540/7f132472_original.jpg,3965428,https://www.airbnb.com/users/show/3965428,Rob,24-10-2012,"Chicago, IL",74%,t,https://a0.muscache.com/im/pictures/user/4cc3ccfe-9063-4635-bd02-ee99790325cf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4cc3ccfe-9063-4635-bd02-ee99790325cf.jpg?aki_policy=profile_x_medium,South Loop/Printers Row,83,t,t,Near South Side,Entire rental unit,1,Entire home/apt,4,2 baths,2,2,200.00,73000,t,30,60,90,365,14,0,0,4.69,5,4.46,4.85,5,4.46,4.62,60.58767123,45.33479452,0.080638356,16.34109589,5.44109589,9.305205479,66.5830137,62.46520548,225.9536986,286.2702665
41.92118,-87.68678,60647,2011301,https://www.airbnb.com/rooms/2011301,Bucktown - Great Northside Location,https://a0.muscache.com/pictures/58610874/e3995f4f_original.jpg,5166793,https://www.airbnb.com/users/show/5166793,Carrie & Brad,20-02-2013,"Chicago, IL",100%,f,https://a0.muscache.com/im/users/5166793/profile_pic/1386684149/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5166793/profile_pic/1386684149/original.jpg?aki_policy=profile_x_medium,Bucktown,2,t,t,Logan Square,Private room in home,3,Private room,2,1 shared bath,1,1,51.00,2193,t,10,26,43,43,266,34,1,4.64,4.77,4.5,4.9,4.74,4.81,4.7,60.11945205,44.88328767,0.080841096,15.69589041,4.594520548,9.320821918,64.61945205,62.85589041,136.7410959,283.7870035
