Zipcode,Average Annual Max Temp (F),Average Annual Min Temp (F),Average Annual Precipitation (inches),Average Annual Wind Speed (mph),Average Annual UV Index (0-10),Average Annual Visibility (miles),Average Annual Cloud Cover (%),Average Annual Humidity (%),Average Annual Solar Radiation (W/m^2)
60637,60.55041096,45.2139726,0.078742466,16.2490411,5.830136986,9.3,65.31260274,62.92684932,253.8046575
60613,59.96136986,44.66712329,0.080493151,15.48849315,4.594520548,9.323561644,63.04931507,63.21945205,136.0723288
60615,60.55424658,45.23780822,0.078882192,16.26410959,5.649315068,9.300273973,65.61643836,62.82383562,237.2580822
60614,60.16958904,44.94356164,0.080936986,15.69561644,4.594520548,9.321643836,64.29232877,62.75232877,136.1380822
60618,59.92657534,44.62273973,0.080460274,15.54027397,4.594520548,9.32109589,63.60219178,63.3,136.7410959
60657,60.04273973,44.77917808,0.080605479,15.56986301,4.594520548,9.323561644,63.56767123,63.03835616,136.1432877
60616,60.58767123,45.33479452,0.080638356,16.34109589,5.44109589,9.305205479,66.5830137,62.46520548,225.9536986
60647,60.11945205,44.88328767,0.080841096,15.69589041,4.594520548,9.320821918,64.61945205,62.85589041,136.7410959
60622,60.33479452,45.14575342,0.081216438,15.91424658,4.594520548,9.324383562,65.26958904,62.40246575,136.2465753
60624,60.51753425,45.34739726,0.0814,16.18383562,5.090410959,9.322739726,66.39835616,62.04575342,205.5545205
60608,60.75835616,45.59534247,0.081679452,16.51424658,5.438356164,9.32,66.97917808,61.6,225.8282192
60642,60.32246575,45.13369863,0.081183562,15.8890411,4.594520548,9.323013699,65.11890411,62.42657534,136.1065753
60630,59.65150685,44.19150685,0.079873973,15.58054795,4.594520548,9.318082192,63.08849315,64.01315068,136.7583562
60607,60.53479452,45.36520548,0.081345205,16.1690411,4.594520548,9.322739726,65.99013699,62.02082192,136.2465753
60625,59.79068493,44.41561644,0.079945205,15.4309589,4.594520548,9.323013699,62.40383562,63.64164384,136.4454795
60623,60.83452055,45.67232877,0.081824658,16.64712329,5.438356164,9.320821918,67.43808219,61.45479452,225.8282192
60612,60.52246575,45.3509589,0.0814,16.16520548,5.090410959,9.324383562,66.15260274,62.0460274,205.5545205
